id,name,name_ja,name_en,address_example,address_example_ja,address_example_en,fit_reason,fit_reason_ja,fit_reason_en,map_url,keywords,keywords_ja,keywords_en,candidate_locations_json,status
SITE-032,灾后临时住宅余地,災後仮設住宅余地,Design topic: post-disaster临时住宅余地,灾后临时住宅、复兴公营住宅或避难设施曾经使用的空地,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,临时居住和复兴过程会留下社区记忆，适合研究长期恢复、邻里支持和灾害教育空间。,災後仮設住宅余地は、災後復興・仮設住宅・コミュニティ記憶・防災を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: post-disaster临时住宅余地 is a site type that can turn Design topic: post-disaster复兴, Design topic: 临时住宅, Design topic: community记忆, disaster prevention into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,灾后复兴|临时住宅|社区记忆|防灾|邻里支持,災後復興|仮設住宅|コミュニティ記憶|防災|近隣支援,Design topic: post-disaster复兴|Design topic: 临时住宅|Design topic: community记忆|disaster prevention|Design topic: 邻里支持,,draft
SITE-033,亲子支援设施街角,親子支援施設街角,Design topic: 亲子supportfacility街角,幼儿园、保育园、儿童发展支援和社区咨询设施附近,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,接近日常通学与购物路线，适合把育儿咨询、亲子交流和儿童发展支援做成低门槛街角设施。,親子支援施設街角は、子育て・親子・子ども発達・街角を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 亲子supportfacility街角 is a site type that can turn childcare, Design topic: 亲子, Design topic: children发展, Design topic: 街角 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,育儿|亲子|儿童发展|街角|咨询,子育て|親子|子ども発達|街角|相談,childcare|Design topic: 亲子|Design topic: children发展|Design topic: 街角|consultation,,draft
SITE-034,地方道之驿更新带,地域道の駅更新带,Design topic: localroadside stationrenewal带,地方道路服务站、停车场、农产销售和周边村落入口,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,道之驿可从停车休息点升级为地方服务中心，承接共创办公、社区会议、食物教育和灾时支援。,地域道の駅更新带は、道の駅・地域サービス・共創オフィス・地域食を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: localroadside stationrenewal带 is a site type that can turn roadside station, localservice, Design topic: 共创办公, local food into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,道之驿|地方服务|共创办公|地域食|防灾,道の駅|地域サービス|共創オフィス|地域食|防災,roadside station|localservice|Design topic: 共创办公|local food|disaster prevention,,draft
SITE-035,高架与公园运动缝隙,高架と公園運動隙間,Design topic: 高架andpark运动缝隙,铁路高架、公园边界、桥下和城市运动设施之间的夹缝地,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,城市中的缝隙空间可承接青年运动、夜间安全、临时活动和轻量公共服务，适合小尺度改造题目。,高架と公園運動隙間は、高架下・運動・若者・夜間安全を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 高架andpark运动缝隙 is a site type that can turn Design topic: 高架下, Design topic: 运动, youth, nightsafety into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,高架下|运动|青年|夜间安全|小尺度,高架下|運動|若者|夜間安全|小規模,Design topic: 高架下|Design topic: 运动|youth|nightsafety|Design topic: 小尺度,,draft
SITE-036,港湾仓库再生带,港湾岸倉庫再生带,Design topic: harbor仓库regeneration带,港口旧仓库、岸壁广场、物流遗构和临水步道周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,港湾仓库兼具历史记忆和大跨度空间，适合转为活动、展览、市场和城市水边客厅。,港湾岸倉庫再生带は、港湾岸・倉庫再生・水辺・活動を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: harbor仓库regeneration带 is a site type that can turn harbor, Design topic: 仓库regeneration, waterfront, activity into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,港湾|仓库再生|水边|活动|历史记忆,港湾岸|倉庫再生|水辺|活動|歴史記憶,harbor|Design topic: 仓库regeneration|waterfront|activity|Design topic: history记忆,,draft
SITE-037,木造密集街区微更新,木造密集街区微更新,Design topic: wooden密集neighborhood微renewal,谷中、根津、下町等木造小尺度住宅和商店混合街区,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,小建筑更新可承接旅宿、咖啡、展览和街区接待，适合研究不推倒重来的渐进式再生。,木造密集街区微更新は、木造密集・微更新・宿泊・街区接待を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: wooden密集neighborhood微renewal is a site type that can turn Design topic: wooden密集, Design topic: 微renewal, Design topic: 旅宿, Design topic: neighborhood接待 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,木造密集|微更新|旅宿|街区接待|下町,木造密集|微更新|宿泊|街区接待|下町,Design topic: wooden密集|Design topic: 微renewal|Design topic: 旅宿|Design topic: neighborhood接待|Design topic: 下町,,draft
SITE-038,高架下艺术驻留带,高架下アート滞在制作带,Design topic: 高架下art驻留带,铁路高架下、旧红灯区边缘和小型艺术工作室聚集区,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,高架下空间可从管理盲区转为艺术驻留、工作室和街区交流带，适合研究治安与文化再生。,高架下アート滞在制作带は、高架下・アート滞在制作・街区再生・工房を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 高架下art驻留带 is a site type that can turn Design topic: 高架下, Design topic: art驻留, neighborhoodregeneration, Design topic: 工作室 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,高架下|艺术驻留|街区再生|工作室|治安,高架下|アート滞在制作|街区再生|工房|治安,Design topic: 高架下|Design topic: art驻留|neighborhoodregeneration|Design topic: 工作室|Design topic: 治安,,draft
SITE-039,公共浴场周边,公衆浴場周辺,Design topic: public浴场周边,住宅区中的传统钱汤、澡堂入口、小型商业和休息空间周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,公共浴场既是卫生设施也是社区日常节点，可转为健康、交流和年轻人回流的空间题目。,公衆浴場周辺は、公衆浴場・健康・コミュニティ・日常を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: public浴场周边 is a site type that can turn Design topic: public浴场, health, community, Design topic: 日常 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,公共浴场|健康|社区|日常|年轻人,公衆浴場|健康|コミュニティ|日常|若い人,Design topic: public浴场|health|community|Design topic: 日常|Design topic: 年轻人,,draft
SITE-040,都市农业与食育空间,都市農業と食育空間,Design topic: 都市农业andfood educationspace,办公楼屋顶、闲置地、学校周边和社区农园等城市食物生产空间,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,都市农业能把食物、环境教育、工作和社区活动连起来，适合小尺度但议题清晰的毕设方向。,都市農業と食育空間は、都市農業・食育・環境教育・屋根を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 都市农业andfood educationspace is a site type that can turn Design topic: 都市农业, food education, environmental education, roof into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,都市农业|食育|环境教育|屋顶|社区,都市農業|食育|環境教育|屋根|コミュニティ,Design topic: 都市农业|food education|environmental education|roof|community,,draft
SITE-041,防灾教育与河川边缘,防災教育と河川縁辺,Design topic: disaster preventioneducationand河川边缘,河川防灾馆、避难路径、堤防公园和灾害记忆设施周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,水害和地震风险需要被日常化理解，河川边缘适合结合防灾学习、避难动线和公共休息空间。,防災教育と河川縁辺は、防災・河川・避難・教育を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: disaster preventioneducationand河川边缘 is a site type that can turn disaster prevention, Design topic: 河川, evacuation, education into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,防灾|河川|避难|教育|灾害记忆,防災|河川|避難|教育|災害記憶,disaster prevention|Design topic: 河川|evacuation|education|Design topic: 灾害记忆,,draft
SITE-042,旧民家公共厨房,旧民家公共キッチン,Design topic: 旧民家publickitchen,地方旧民家、空屋、农产直卖所和小型食堂聚集区,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,旧民家厨房能把食文化、观光、居民交流和小规模就业连起来，适合低成本再生题目。,旧民家公共キッチンは、旧民家・公共キッチン・食文化・空き家再生を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 旧民家publickitchen is a site type that can turn Design topic: 旧民家, publickitchen, Design topic: 食culture, vacant houseregeneration into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,旧民家|公共厨房|食文化|空屋再生|交流,旧民家|公共キッチン|食文化|空き家再生|交流,Design topic: 旧民家|publickitchen|Design topic: 食culture|vacant houseregeneration|exchange,,draft
SITE-043,校园开放制造节点,キャンパス開放ものづくりノード,Design topic: campusopenmaking节点,大学或高专校园边缘、实验工房、木工厂和社区入口之间,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,校园边缘可把制造学习、产学合作和居民参观结合，形成从学校向城市打开的学习设施。,キャンパス開放ものづくりノードは、キャンパス開放・ものづくり学習・産学合作・工房を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: campusopenmaking节点 is a site type that can turn campusopen, makinglearning, Design topic: 产学合作, Design topic: 工房 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,校园开放|制造学习|产学合作|工房|木材,キャンパス開放|ものづくり学習|産学合作|工房|木材,campusopen|makinglearning|Design topic: 产学合作|Design topic: 工房|Design topic: 木材,,draft
SITE-044,医疗照护咨询小院,医療ケア相談小さな中庭,Design topic: healthcareconsultation小院,医院外缘、社区诊所、看护服务站和安静住宅街之间,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,病友和照护者需要离医院很近但不具医院感的咨询、休息和同伴支持空间。,医療ケア相談小さな中庭は、医療ケア・相談・療養者支援・ケア者を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: healthcareconsultation小院 is a site type that can turn healthcare, consultation, Design topic: 病友支持, Design topic: care者 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,医疗照护|咨询|病友支持|照护者|庭院,医療ケア|相談|療養者支援|ケア者|庭園,healthcare|consultation|Design topic: 病友支持|Design topic: care者|courtyard,,draft
SITE-045,循环修理工坊边缘,循環修理工房縁辺,Design topic: 循环repairworkshop边缘,旧工业区、垃圾处理设施旁、商店街后巷和共享工房聚集区,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,修理、再利用和材料教育需要可操作的工坊场所，适合连接循环经济与社区学习。,循環修理工房縁辺は、循環経済・修理・工房・再利用を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 循环repairworkshop边缘 is a site type that can turn circular economy, repair, workshop, reuse into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,循环经济|修理|工坊|再利用|材料教育,循環経済|修理|工房|再利用|材料教育,circular economy|repair|workshop|reuse|Design topic: 材料education,,draft
SITE-046,多文化交流与行政窗口,多文化交流と行政窗口,Design topic: multiculturalexchangeand行政窗口,外国人居民较多的车站前、商店街、国际交流协会和市政服务窗口周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,语言、制度和归属感问题需要低门槛空间承接，适合做咨询、学习、文化交流和小型活动复合设施。,多文化交流と行政窗口は、多文化・外国人住民・行政相談・言語支援を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: multiculturalexchangeand行政窗口 is a site type that can turn multicultural, Design topic: foreign人resident, Design topic: 行政consultation, Design topic: 语言支持 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,多文化|外国人居民|行政咨询|语言支持|交流,多文化|外国人住民|行政相談|言語支援|交流,multicultural|Design topic: foreign人resident|Design topic: 行政consultation|Design topic: 语言支持|exchange,,draft
SITE-047,夜间学习与自习空间,夜間学習と自習空間,Design topic: nightlearningand自习space,大学周边、图书馆、车站前学习室和夜间仍有人流的公共设施附近,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,夜间学习需要安全、安静和非商业的停留环境，适合研究24小时学习和城市公共性的边界。,夜間学習と自習空間は、夜間学習・図書館・自習・非商業滞在を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: nightlearningand自习space is a site type that can turn nightlearning, library, Design topic: 自习, Design topic: 非商业停留 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,夜间学习|图书馆|自习|非商业停留|安全,夜間学習|図書館|自習|非商業滞在|安全,nightlearning|library|Design topic: 自习|Design topic: 非商业停留|safety,,draft
SITE-048,女性与青年安全支援节点,女性と若者安全支援ノード,Design topic: womenandyouthsafetysupport节点,繁华街边缘、咨询机构、青年支援组织和夜间回家路线附近,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,女性和年轻人需要可进入、可求助、可学习的安全空间，适合把庇护、咨询和自立培训结合。,女性と若者安全支援ノードは、女性支援・若者安全・相談・自立を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: womenandyouthsafetysupport节点 is a site type that can turn women support, youthsafety, consultation, Design topic: 自立 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,女性支援|青年安全|咨询|自立|繁华街,女性支援|若者安全|相談|自立|繁华街,women support|youthsafety|consultation|Design topic: 自立|Design topic: 繁华街,,draft
SITE-049,交通枢纽城市入口,交通枢纽都市入口,Design topic: transport枢纽urbanentry,新车站、换乘节点、站前广场和再开发街区入口周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,交通节点不应只是通行机器，可转为城市入口、活动平台和信息交流的公共客厅。,交通枢纽都市入口は、駅・交通枢纽・都市入口・拠点前広場を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: transport枢纽urbanentry is a site type that can turn station, Design topic: transport枢纽, urbanentry, Design topic: 站前广场 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,车站|交通枢纽|城市入口|站前广场|再开发,駅|交通枢纽|都市入口|拠点前広場|再開発,station|Design topic: transport枢纽|urbanentry|Design topic: 站前广场|Design topic: 再开发,,draft
SITE-050,产业遗产文化转换带,産業遺産文化转换带,Design topic: industrial heritageculture转换带,旧发电站、仓库、工厂、港湾工业遗构和大型基础设施退场地,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,大尺度产业遗产适合转为展览、学习、创意生产和城市记忆空间，支持从拆除转向再利用。,産業遺産文化转换带は、産業遺産・発电拠点・倉庫・再利用を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: industrial heritageculture转换带 is a site type that can turn industrial heritage, Design topic: 发电站, Design topic: 仓库, reuse into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,产业遗产|发电站|仓库|再利用|文化设施,産業遺産|発电拠点|倉庫|再利用|文化施設,industrial heritage|Design topic: 发电站|Design topic: 仓库|reuse|culturefacility,,draft
